Waste type,Month,Value,Source_Sheet
Wet waste,A&B Block,30,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,42,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,14,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,26,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,55,March2025
Dry waste,A&B Block,10,March2025
TOTAL (Kg),A&B Block,65,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,40,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,71,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,63,March2025
Dry waste,A&B Block,20,March2025
TOTAL (Kg),A&B Block,83,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,56,March2025
Dry waste,A&B Block,25,March2025
TOTAL (Kg),A&B Block,81,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,64,March2025
Dry waste,A&B Block,17,March2025
TOTAL (Kg),A&B Block,81,March2025
Waste type,A&B Block, A&B Block,March2025
Wet waste,A&B Block,72,March2025
Dry waste,A&B Block,28,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,40,March2025
TOTAL (Kg),A&B Block,122,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,113,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,82,March2025
Dry waste,A&B Block,44,March2025
TOTAL (Kg),A&B Block,44,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,74,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,116,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,70,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,35,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,47,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,71,March2025
Dry waste,A&B Block,35,March2025
TOTAL (Kg),A&B Block,106,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,60,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,102,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,63,March2025
Dry waste,A&B Block,31,March2025
TOTAL (Kg),A&B Block,94,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,33,March2025
Dry waste,A&B Block,11,March2025
TOTAL (Kg),A&B Block,44,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,29,March2025
Dry waste,A&B Block,10,March2025
TOTAL (Kg),A&B Block,39,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,58,March2025
Dry waste,A&B Block,42,March2025
TOTAL (Kg),A&B Block,100,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,56,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,86,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,24,March2025
Dry waste,A&B Block,11,March2025
TOTAL (Kg),A&B Block,35,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,40,March2025
Dry waste,A&B Block,12,March2025
TOTAL (Kg),A&B Block,52,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,20,March2025
Dry waste,A&B Block,8,March2025
TOTAL (Kg),A&B Block,28,March2025
Waste type,A&B Block,A&B Block,March2025
Wet waste,A&B Block,66,March2025
Dry waste,A&B Block,30,March2025
TOTAL (Kg),A&B Block,96,March2025
Wet waste,C&D Block,15,March2025
Dry waste,C&D Block,8,March2025
TOTAL (Kg),C&D Block,23,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,10,March2025
Dry waste,C&D Block,4,March2025
TOTAL (Kg),C&D Block,14,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,15,March2025
Dry waste,C&D Block,10.36,March2025
TOTAL (Kg),C&D Block,25.36,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,35,March2025
Dry waste,C&D Block,17.32,March2025
TOTAL (Kg),C&D Block,52.32,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,20.98,March2025
Dry waste,C&D Block,31.68,March2025
TOTAL (Kg),C&D Block,52.66,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,19.62,March2025
Dry waste,C&D Block,29.92,March2025
TOTAL (Kg),C&D Block,49.54,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,22.18,March2025
Dry waste,C&D Block,27.45,March2025
TOTAL (Kg),C&D Block,49.63,March2025
Waste type,C&D Block,C&D Block ,March2025
Wet waste,C&D Block,9.3,March2025
Dry waste,C&D Block,18.6,March2025
TOTAL (Kg),C&D Block,27.9,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23.2,March2025
Dry waste,C&D Block,12.4,March2025
TOTAL (Kg),C&D Block,35.6,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29.1,March2025
Dry waste,C&D Block,18.1,March2025
TOTAL (Kg),C&D Block,47.2,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29.1,March2025
Dry waste,C&D Block,16.1,March2025
TOTAL (Kg),C&D Block,16.1,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,25,March2025
Dry waste,C&D Block,16,March2025
TOTAL (Kg),C&D Block,41,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,60,March2025
Dry waste,C&D Block,30,March2025
TOTAL (Kg),C&D Block,90,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,19,March2025
Dry waste,C&D Block,8,March2025
TOTAL (Kg),C&D Block,27,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,29,March2025
Dry waste,C&D Block,12,March2025
TOTAL (Kg),C&D Block,41,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,21.1,March2025
Dry waste,C&D Block,14.2,March2025
TOTAL (Kg),C&D Block,35.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,31.4,March2025
Dry waste,C&D Block,18,March2025
TOTAL (Kg),C&D Block,49.4,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,24.1,March2025
Dry waste,C&D Block,17.3,March2025
TOTAL (Kg),C&D Block,41.4,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,32,March2025
Dry waste,C&D Block,12,March2025
TOTAL (Kg),C&D Block,44,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,34.6,March2025
Dry waste,C&D Block,22.2,March2025
TOTAL (Kg),C&D Block,56.8,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,30,March2025
Dry waste,C&D Block,20,March2025
TOTAL (Kg),C&D Block,50,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23,March2025
Dry waste,C&D Block,16,March2025
TOTAL (Kg),C&D Block,39,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,26.2,March2025
Dry waste,C&D Block,17.1,March2025
TOTAL (Kg),C&D Block,43.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,36.1,March2025
Dry waste,C&D Block,21.2,March2025
TOTAL (Kg),C&D Block,57.3,March2025
Waste type,C&D Block,C&D Block,March2025
Wet waste,C&D Block,23,March2025
Dry waste,C&D Block,19,March2025
TOTAL (Kg),C&D Block,42,March2025
Wet waste,L H Hostel,23,March2025
Dry waste,L H Hostel,12,March2025
TOTAL (Kg),L H Hostel,35,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,16,March2025
Dry waste,L H Hostel,6,March2025
TOTAL (Kg),L H Hostel,22,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
Dry waste,L H Hostel,8,March2025
TOTAL (Kg),L H Hostel,8,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,20,March2025
Dry waste,L H Hostel,10,March2025
TOTAL (Kg),L H Hostel,30,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,30,March2025
Dry waste,L H Hostel,11.66,March2025
TOTAL (Kg),L H Hostel,41.66,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,17,March2025
Dry waste,L H Hostel,20,March2025
TOTAL (Kg),L H Hostel,37,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,20,March2025
Dry waste,L H Hostel,17,March2025
TOTAL (Kg),L H Hostel,37,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,24,March2025
Dry waste,L H Hostel,15,March2025
TOTAL (Kg),L H Hostel,39,March2025
Waste type,L H Hostel,L H Hostel,March2025
Wet waste,L H Hostel,0,March2025
